@RELATION algorithm_runs_qbf_2011

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE performance NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
adder-10-sat-shuffled,1,2clsQ,1188.87,timeout
adder-10-sat-shuffled,1,quantor,3599.64,timeout
adder-10-sat-shuffled,1,QuBE,3035.23,timeout
adder-10-sat-shuffled,1,sKizzo,18.72,ok
adder-10-sat-shuffled,1,sSolve,3599.49,timeout
adder-10-unsat-shuffled,1,2clsQ,3599.47,timeout
adder-10-unsat-shuffled,1,quantor,71.91,timeout
adder-10-unsat-shuffled,1,QuBE,3599.47,timeout
adder-10-unsat-shuffled,1,sKizzo,3599.62,timeout
adder-10-unsat-shuffled,1,sSolve,3599.5,timeout
adder-12-sat-shuffled,1,2clsQ,1181.23,timeout
adder-12-sat-shuffled,1,quantor,127.66,timeout
adder-12-sat-shuffled,1,QuBE,1328.05,timeout
adder-12-sat-shuffled,1,sKizzo,124.35,ok
adder-12-sat-shuffled,1,sSolve,3599.49,timeout
adder-12-unsat-shuffled,1,2clsQ,3599.47,timeout
adder-12-unsat-shuffled,1,quantor,83.4,timeout
adder-12-unsat-shuffled,1,QuBE,3599.48,timeout
adder-12-unsat-shuffled,1,sKizzo,60.82,timeout
adder-12-unsat-shuffled,1,sSolve,3599.51,timeout
adder-14-sat-shuffled,1,2clsQ,404.45,timeout
adder-14-sat-shuffled,1,quantor,109.45,timeout
adder-14-sat-shuffled,1,QuBE,565.21,timeout
adder-14-sat-shuffled,1,sKizzo,743.1,ok
adder-14-sat-shuffled,1,sSolve,3599.48,timeout
adder-14-unsat-shuffled,1,2clsQ,3599.48,timeout
adder-14-unsat-shuffled,1,quantor,77.18,timeout
adder-14-unsat-shuffled,1,QuBE,3599.49,timeout
adder-14-unsat-shuffled,1,sKizzo,137,timeout
adder-14-unsat-shuffled,1,sSolve,3599.5,timeout
adder-16-unsat-shuffled,1,2clsQ,3599.48,timeout
adder-16-unsat-shuffled,1,quantor,131.44,timeout
adder-16-unsat-shuffled,1,QuBE,3599.52,timeout
adder-16-unsat-shuffled,1,sKizzo,3599.47,timeout
adder-16-unsat-shuffled,1,sSolve,3599.5,timeout
Adder2-10-s-shuffled,1,2clsQ,3599.49,timeout
Adder2-10-s-shuffled,1,quantor,3599.53,timeout
Adder2-10-s-shuffled,1,QuBE,3599.57,timeout
Adder2-10-s-shuffled,1,sKizzo,69.53,ok
Adder2-10-s-shuffled,1,sSolve,3599.49,timeout
Adder2-4-s-shuffled,1,2clsQ,3599.56,timeout
Adder2-4-s-shuffled,1,quantor,0.1,ok
Adder2-4-s-shuffled,1,QuBE,3599.48,timeout
Adder2-4-s-shuffled,1,sKizzo,0.2,ok
Adder2-4-s-shuffled,1,sSolve,2746.18,ok
Adder2-6-c-shuffled,1,2clsQ,3599.52,timeout
Adder2-6-c-shuffled,1,quantor,77.35,timeout
Adder2-6-c-shuffled,1,QuBE,3599.46,timeout
Adder2-6-c-shuffled,1,sKizzo,439.35,timeout
Adder2-6-c-shuffled,1,sSolve,3599.49,timeout
Adder2-6-s-shuffled,1,2clsQ,3599.51,timeout
Adder2-6-s-shuffled,1,quantor,17.06,ok
Adder2-6-s-shuffled,1,QuBE,3599.51,timeout
Adder2-6-s-shuffled,1,sKizzo,1.37,ok
Adder2-6-s-shuffled,1,sSolve,3599.5,timeout
adder-4-sat-shuffled,1,2clsQ,3599.59,timeout
adder-4-sat-shuffled,1,quantor,0.1,ok
adder-4-sat-shuffled,1,QuBE,3599.46,timeout
adder-4-sat-shuffled,1,sKizzo,0.44,ok
adder-4-sat-shuffled,1,sSolve,3599.5,timeout
adder-6-sat-shuffled,1,2clsQ,3599.56,timeout
adder-6-sat-shuffled,1,quantor,17.23,ok
adder-6-sat-shuffled,1,QuBE,3599.47,timeout
adder-6-sat-shuffled,1,sKizzo,3.37,ok
adder-6-sat-shuffled,1,sSolve,3599.5,timeout
adder-8-sat-shuffled,1,2clsQ,1980.05,timeout
adder-8-sat-shuffled,1,quantor,3599.47,timeout
adder-8-sat-shuffled,1,QuBE,3599.5,timeout
adder-8-sat-shuffled,1,sKizzo,9.6,ok
adder-8-sat-shuffled,1,sSolve,3599.49,timeout
adder-8-unsat-shuffled,1,2clsQ,3599.46,timeout
adder-8-unsat-shuffled,1,quantor,68.23,timeout
adder-8-unsat-shuffled,1,QuBE,3599.46,timeout
adder-8-unsat-shuffled,1,sKizzo,3599.63,timeout
adder-8-unsat-shuffled,1,sSolve,3599.49,timeout
aim-100-1_6-yes1-3-50-shuffled,1,2clsQ,0.03,ok
aim-100-1_6-yes1-3-50-shuffled,1,quantor,174.88,timeout
