@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric

@data
adder-10-sat-shuffled,1,1
adder-10-unsat-shuffled,1,1
adder-12-sat-shuffled,1,1
adder-14-sat-shuffled,1,1
adder-14-unsat-shuffled,1,1
adder-16-unsat-shuffled,1,1
Adder2-6-c-shuffled,1,1
adder-8-unsat-shuffled,1,1
aim-100-1_6-yes1-3-90-shuffled,1,1
aim-100-2_0-yes1-2-90-shuffled,1,1
aim-200-2_0-yes1-2-90-shuffled,1,1
aim-50-1_6-yes1-1-00-shuffled,1,1
aim-50-1_6-yes1-1-90-shuffled,1,1
aim-50-1_6-yes1-2-00-shuffled,1,1
aim-50-1_6-yes1-2-50-shuffled,1,1
aim-50-1_6-yes1-3-00-shuffled,1,1
aim-50-1_6-yes1-4-50-shuffled,1,1
aim-50-1_6-yes1-4-90-shuffled,1,1
aim-50-2_0-yes1-3-90-shuffled,1,1
aim-50-6_0-yes1-4-90-shuffled,1,1
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,1
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,1
BLOCKS3i.5.3-shuffled,1,1
BLOCKS3iii.5-shuffled,1,1
BLOCKS4ii.7.2-shuffled,1,1
BLOCKS4iii.7-shuffled,1,1
blocks_enc_2_b4_ser--opt-26_-shuffled,1,1
c1_BMC_p1_k2048-shuffled,1,1
c1_BMC_p2_k1024-shuffled,1,1
c1_BMC_p2_k128-shuffled,1,1
c3_BMC_p1_k256-shuffled,1,1
c3_BMC_p2_k1024-shuffled,1,1
c3_Debug_s3_f2_e2_v2-shuffled,1,1
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,1
C499.blif_0.10_0.20_0_0_out_exact,1,1
C499.blif_0.10_0.20_0_1_out_exact,1,1
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,1
c4_BMC_p1_k1024-shuffled,1,1
c4_BMC_p1_k2048-shuffled,1,1
c4_Debug_s3_f1_e1_v3-shuffled,1,1
c4_Debug_s3_f1_e2_v3-shuffled,1,1
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,1
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,1
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,1
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,1
c6_BMC_p2_k128-shuffled,1,1
c6_BMC_p2_k2048-shuffled,1,1
C880.blif_0.10_1.00_0_0_inp_exact,1,1
C880.blif_0.10_1.00_0_0_out_exact,1,1
C880.blif_0.10_1.00_0_1_out_exact-shuffled,1,1
cmu.dme1.B-f3,1,1
cmu.dme1.B-f4-shuffled,1,1
cmu.dme2.B-f2,1,1
cmu.periodic.N-d2-shuffled,1,1
cmu.periodic.N-f4-shuffled,1,1
comp.blif_0.10_1.00_0_0_inp_exact-shuffled,1,1
connect_5x4_3_R-shuffled,1,1
connect_5x4_4_W-shuffled,1,1
connect_6x5_4_D-shuffled,1,1
connect_6x5_5_R-shuffled,1,1
connect_7x6_6_W-shuffled,1,1
connect_8x7_3_D-shuffled,1,1
connect_8x7_7_D-shuffled,1,1
connect_9x8_6_D-shuffled,1,1
Core1108_tbm_02.tex.moduleQ3.2S.000015,1,1
Core1108_tbm_02.tex.moduleQ3.2S.000056,1,1
Core1108_tbm_02.tex.moduleQ3.2S.000098,1,1
Core1108_tbm_02.tex.moduleQ3.2S.000108,1,1
Core1108_tbm_03.tex.module.000003,1,1
Core1108_tbm_03.tex.module.000019,1,1
Core1108_tbm_03.tex.module.000023,1,1
Core1108_tbm_03.tex.module.000038,1,1
Core1108_tbm_03.tex.module.000048,1,1
Core1108_tbm_03.tex.module.000057,1,1
Core1108_tbm_03.tex.module.000064,1,1
Core1108_tbm_03.tex.module.000090,1,1
Core1108_tbm_03.tex.module.000092,1,1
Core1108_tbm_03.tex.moduleQ3.2S.000003,1,1
Core1108_tbm_03.tex.moduleQ3.2S.000011,1,1
Core1108_tbm_03.tex.moduleQ3.2S.000048,1,1
Core1108_tbm_09.tex.module.000009,1,1
Core1108_tbm_09.tex.module.000010,1,1
Core1108_tbm_09.tex.module.000033,1,1
Core1108_tbm_09.tex.moduleQ3.10S.000001,1,1
Core1108_tbm_09.tex.moduleQ3.2S.000003,1,1
