"instance_id","algorithm"
"./SAT02/handmade/chu-min-li/urquhart/urquhart3_25bis.shuffled.cnf","MPhaseSAT_2011.02.15"
"./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf","PicoSAT_941"
"./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3900_3900_060.shuffled.cnf","PicoSAT_941"
"./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3900_3900_220.shuffled.cnf","CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_110.shuffled.cnf","sattime_2011.03.02"
"./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf","CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT02/handmade/pehoushek/twentyvars/7cnf20_90000_90000_7.shuffled.cnf","PicoSAT_941"
"./SAT02/handmade/simon/satex-challenges/c6288.shuffled.cnf","PicoSAT_941"
"./SAT02/handmade/simon/satex-challenges/f600.shuffled.cnf","MPhaseSAT_2011.02.15"
"./SAT02/handmade/simon/satex-challenges/par32-3.shuffled.cnf","CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT02/handmade/zhang-lintao/xor-chain/x1_40.shuffled.cnf","MPhaseSAT_2011.02.15"
"./SAT02/handmade/zhang-lintao/xor-chain/x1_80.shuffled.cnf","MPhaseSAT_2011.02.15"
"./SAT03/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf","PicoSAT_941"
"./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_1-log.shuffled-as.sat03-107.cnf","SAT09referencesolverclasp_1.2.0.SAT09.32"
"./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_3-log.shuffled-as.sat03-109.cnf","sattime_2011.03.02"
"./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf","sattime_2011.03.02"
"./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf","clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_60_24_40_2-log.shuffled-as.sat03-119.cnf","SAT09referencesolverclasp_1.2.0.SAT09.32"
"./SAT03/handmade/anton/UNSAT/SGI_30_60_28_40_7-log.shuffled-as.sat03-127.cnf","SAT09referencesolverclasp_1.2.0.SAT09.32"
"./SAT03/handmade/anton/UNSAT/SGI_30_60_29_30_6-dir.shuffled-as.sat03-130.cnf","clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_15_90_1-dir.shuffled-as.sat03-136.cnf","Sol_2011.04.04"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_15_90_1-log.shuffled-as.sat03-137.cnf","PicoSAT_941"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_18_80_10-dir.shuffled-as.sat03-140.cnf","PicoSAT_941"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf","sattime._2011.03.02"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf","Sol_2011.04.04"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_20_70_1-dir.shuffled-as.sat03-146.cnf","clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_21_60_7-log.shuffled-as.sat03-151.cnf","SAT09referencesolverclasp_1.2.0.SAT09.32"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_22_70_7-dir.shuffled-as.sat03-154.cnf","clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf","clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_26_60_1-dir.shuffled-as.sat03-167.cnf","clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf","clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_29_50_3-dir.shuffled-as.sat03-179.cnf","clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf","MPhaseSAT_2011.02.15"
"./SAT03/handmade/anton/UNSAT/SGI_30_80_28_70_8-dir.shuffled-as.sat03-215.cnf","clasp_2.0.R4092.crafted"
"./SAT03/handmade/bevan/cnf/marg3x3add8.shuffled-as.sat03-1449.cnf","MPhaseSAT_2011.02.15"
"./SAT03/handmade/bevan/cnf/marg3x3add8ch.shuffled-as.sat03-1448.cnf","MPhaseSAT_2011.02.15"
"./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf","MPhaseSAT_2011.02.15"
"./SAT03/handmade/gomes/bqwh/bqwh.60.1152.shuffled-as.sat03-1650.cnf","sattime._2011.03.02"
"./SAT03/handmade/markstrom/UNSATISFIABLE/mm-2x2-6-6-s.1.shuffled-as.sat03-1499.cnf","sathys_2011.04.01"
"./SAT03/handmade/stanion/hwb/hwb-n28-01-S136611085.shuffled-as.sat03-1627.cnf","PicoSAT_941"
"./SAT03/handmade/stanion/hwb/hwb-n28-02-S818962541.shuffled-as.sat03-1628.cnf","PicoSAT_941"
"./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf","MPhaseSAT_2011.02.15"
"./SAT03/handmade/stanion/hwb/hwb-n32-02-S1478512323.shuffled-as.sat03-1638.cnf","PicoSAT_941"
"./SAT04/handmade/andrew/composite/Composite-024BitPrimes-1.used-as.sat04-861.cnf","glucose_2"
"./SAT04/handmade/anton/l4k4/lksat-n900-m6174-k4-l4-s819398222.used-as.sat04-929.cnf","CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT04/handmade/anton/l5k3/lksat-n1100-m4103-k3-l5-s558351420.used-as.sat04-934.cnf","MPhaseSAT_2011.02.15"
"./SAT04/handmade/anton/l5k3/lksat-n900-m3357-k3-l5-s950595579.used-as.sat04-938.cnf","clasp_2.0.R4092.crafted"
"./SAT04/handmade/connamacher/connm-d-0.02/connm-ue-csp-sat-n1200-d-0.02-s405595518.used-as.sat04-950.cnf","MPhaseSAT_2011.02.15"
"./SAT04/handmade/connamacher/connm-d0.02/connm-ue-csp-sat-n800-d0.02-s111845174.used-as.sat04-958.cnf","clasp_2.0.R4092.crafted"
"./SAT04/handmade/connamacher/connm-d0.04/connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976.cnf","clasp_2.0.R4092.crafted"
"./SAT04/handmade/hirsch03/hgen8-n320-01-S1432474240.shuffled-as.sat03-890.used-as.sat04-841.cnf","PicoSAT_941"
"./SAT04/handmade/kexu/frb-0.6/frb75-13-2.used-as.sat04-878.cnf","sattime_2011.03.02"
"./SAT04/handmade/kexu/frb-0.6/frb80-14-2.used-as.sat04-880.cnf","sattime_2011.03.02"
"./SAT04/handmade/kexu/frb-0.8/frb45-21-1.used-as.sat04-883.cnf","sattime_2011.03.02"
"./SAT04/handmade/kexu/frb-0.8/frb59-26-1.used-as.sat04-891.cnf","sattime_2011.03.02"
"./SAT04/handmade/kexu/frb-0.8/frb59-26-2.used-as.sat04-892.cnf","sattime_2011.03.02"
"./SAT04/handmade/marijn/equilarge-l/equilarge_l2.used-as.sat04-894.cnf","MPhaseSAT_2011.02.15"
"./SAT04/handmade/marijn/equilarge-l/equilarge_l4.used-as.sat04-896.cnf","MPhaseSAT_2011.02.15"
"./SAT05/crafted/jarvisalo05/mod2-rand3bip-sat/mod2-rand3bip-sat-270-1.shuffled-as.sat05-2248.cnf","MPhaseSAT_2011.02.15"
"./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-220-3.shuffled-as.sat05-2490.cnf","CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-230-3.shuffled-as.sat05-2505.cnf","QuteRSat_2011.05.12_fixed_"
"./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-240-2.shuffled-as.sat05-2519.cnf","CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-240-3.shuffled-as.sat05-2520.cnf","CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-250-1.shuffled-as.sat05-2533.cnf","QuteRSat_2011.05.12_fixed_"
"./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-250-2.shuffled-as.sat05-2534.cnf","CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-250-3.shuffled-as.sat05-2535.cnf","QuteRSat_2011.05.12_fixed_"
"./SAT05/crafted/lynce05/social-golfer-problem/sgp_5-6-8.shuffled-as.sat05-2669.cnf","QuteRSat_2011.05.12_fixed_"
"./SAT05/crafted/markstrom05/eulcbip/eulcbip-7-UNSAT.shuffled-as.sat05-3936.cnf","PicoSAT_941"
"./SAT05/crafted/roussel05/visbmc-PHNF/phnf-size10-exclusive-philo.used-as.sat04-988.shuffled-as.sat05-4195.cnf","SAT09referencesolverclasp_1.2.0.SAT09.32"
"./SAT05/crafted/sabharwal05/counting/fphp/unsat/harder/fphp-020-019.shuffled-as.sat05-1232.cnf","Sol_2011.04.04"
